rate_date	base_currency	quote_currency	spot_rate	bid_rate	ask_rate	central_bank_fixing
2025-01-12	USD	AUD	1.5615	1.5605	1.5625	1.5615
2025-01-12	USD	CHF	0.8577	0.8572	0.8582	0.8577
2025-01-12	USD	SGD	1.3044	1.3038	1.305	1.3044
2025-01-13	USD	EUR	0.9447	0.9443	0.9451	0.9447
2025-01-13	USD	GBP	0.7676	0.7671	0.7681	0.7676
2025-01-13	USD	INR	82.0237	81.9737	82.0737	82.0237
2025-01-13	USD	JPY	145.6669	145.5169	145.8169	145.6669
2025-01-13	USD	CAD	1.3894	1.3886	1.3902	1.3894
2025-01-13	USD	AUD	1.5627	1.5617	1.5637	1.5627
2025-01-13	USD	CHF	0.8947	0.8942	0.8952	0.8947
2025-01-13	USD	SGD	1.3445	1.3439	1.3451	1.3445
2025-01-14	USD	EUR	0.9054	0.905	0.9058	0.9054
2025-01-14	USD	GBP	0.7615	0.761	0.762	0.7615
2025-01-14	USD	INR	83.8371	83.7871	83.8871	83.8371
2025-01-14	USD	JPY	143.0152	142.8652	143.1652	143.0152
2025-01-14	USD	CAD	1.3515	1.3507	1.3523	1.3515
2025-01-14	USD	AUD	1.4899	1.4889	1.4909	1.4899
2025-01-14	USD	CHF	0.8663	0.8658	0.8668	0.8663
2025-01-14	USD	SGD	1.3008	1.3002	1.3014	1.3008
2025-01-15	USD	EUR	0.9159	0.9155	0.9163	0.9159
2025-01-15	USD	GBP	0.7786	0.7781	0.7791	0.7786
2025-01-15	USD	INR	82.9945	82.9445	83.0445	82.9945
2025-01-15	USD	JPY	141.5375	141.3875	141.6875	141.5375
2025-01-15	USD	CAD	1.359	1.3582	1.3598	1.359
2025-01-15	USD	AUD	1.5429	1.5419	1.5439	1.5429
2025-01-15	USD	CHF	0.8716	0.8711	0.8721	0.8716
2025-01-15	USD	SGD	1.3038	1.3032	1.3044	1.3038
2025-01-16	USD	EUR	0.9198	0.9194	0.9202	0.9198
2025-01-16	USD	GBP	0.8036	0.8031	0.8041	0.8036
2025-01-16	USD	INR	83.0465	82.9965	83.0965	83.0465
2025-01-16	USD	JPY	146.3935	146.2435	146.5435	146.3935
2025-01-16	USD	CAD	1.3839	1.3831	1.3847	1.3839
2025-01-16	USD	AUD	1.5064	1.5054	1.5074	1.5064
2025-01-16	USD	CHF	0.8881	0.8876	0.8886	0.8881
2025-01-16	USD	SGD	1.3785	1.3779	1.3791	1.3785
2025-01-17	USD	EUR	0.9223	0.9219	0.9227	0.9223
2025-01-17	USD	GBP	0.7978	0.7973	0.7983	0.7978
2025-01-17	USD	INR	85.1393	85.0893	85.1893	85.1393
2025-01-17	USD	JPY	147.9283	147.7783	148.0783	147.9283
2025-01-17	USD	CAD	1.3529	1.3521	1.3537	1.3529
2025-01-17	USD	AUD	1.4947	1.4937	1.4957	1.4947
2025-01-17	USD	CHF	0.8795	0.879	0.88	0.8795
2025-01-17	USD	SGD	1.3184	1.3178	1.319	1.3184
2025-01-18	USD	EUR	0.9133	0.9129	0.9137	0.9133
2025-01-18	USD	GBP	0.7805	0.78	0.781	0.7805
2025-01-18	USD	INR	84.0866	84.0366	84.1366	84.0866
2025-01-18	USD	JPY	141.757	141.607	141.907	141.757
2025-01-18	USD	CAD	1.3766	1.3758	1.3774	1.3766
2025-01-18	USD	AUD	1.4968	1.4958	1.4978	1.4968
2025-01-18	USD	CHF	0.8882	0.8877	0.8887	0.8882
2025-01-18	USD	SGD	1.3195	1.3189	1.3201	1.3195
2025-01-19	USD	EUR	0.9441	0.9437	0.9445	0.9441
2025-01-19	USD	GBP	0.8046	0.8041	0.8051	0.8046
2025-01-19	USD	INR	83.7921	83.7421	83.8421	83.7921
2025-01-19	USD	JPY	143.9749	143.8249	144.1249	143.9749
2025-01-19	USD	CAD	1.3611	1.3603	1.3619	1.3611
2025-01-19	USD	AUD	1.5274	1.5264	1.5284	1.5274
2025-01-19	USD	CHF	0.8951	0.8946	0.8956	0.8951
2025-01-19	USD	SGD	1.377	1.3764	1.3776	1.377
2025-01-20	USD	EUR	0.8943	0.8939	0.8947	0.8943
2025-01-20	USD	GBP	0.7634	0.7629	0.7639	0.7634
2025-01-20	USD	INR	85.4153	85.3653	85.4653	85.4153
2025-01-20	USD	JPY	148.3511	148.2011	148.5011	148.3511
2025-01-20	USD	CAD	1.3862	1.3854	1.387	1.3862
2025-01-20	USD	AUD	1.5409	1.5399	1.5419	1.5409
2025-01-20	USD	CHF	0.8768	0.8763	0.8773	0.8768
2025-01-20	USD	SGD	1.3756	1.375	1.3762	1.3756
2025-01-21	USD	EUR	0.9132	0.9128	0.9136	0.9132
2025-01-21	USD	GBP	0.7848	0.7843	0.7853	0.7848
2025-01-21	USD	INR	83.1931	83.1431	83.2431	83.1931
2025-01-21	USD	JPY	142.0428	141.8928	142.1928	142.0428
2025-01-21	USD	CAD	1.3443	1.3435	1.3451	1.3443
2025-01-21	USD	AUD	1.4921	1.4911	1.4931	1.4921
2025-01-21	USD	CHF	0.8856	0.8851	0.8861	0.8856
2025-01-21	USD	SGD	1.3065	1.3059	1.3071	1.3065
2025-01-22	USD	EUR	0.9312	0.9308	0.9316	0.9312
2025-01-22	USD	GBP	0.7827	0.7822	0.7832	0.7827
2025-01-22	USD	INR	82.6714	82.6214	82.7214	82.6714
2025-01-22	USD	JPY	141.1485	140.9985	141.2985	141.1485
2025-01-22	USD	CAD	1.325	1.3242	1.3258	1.325
2025-01-22	USD	AUD	1.538	1.537	1.539	1.538
2025-01-22	USD	CHF	0.8918	0.8913	0.8923	0.8918
2025-01-22	USD	SGD	1.3315	1.3309	1.3321	1.3315
2025-01-23	USD	EUR	0.9177	0.9173	0.9181	0.9177
2025-01-23	USD	GBP	0.7859	0.7854	0.7864	0.7859
2025-01-23	USD	INR	83.2542	83.2042	83.3042	83.2542
2025-01-23	USD	JPY	147.5143	147.3643	147.6643	147.5143
2025-01-23	USD	CAD	1.3516	1.3508	1.3524	1.3516
2025-01-23	USD	AUD	1.5032	1.5022	1.5042	1.5032
2025-01-23	USD	CHF	0.8641	0.8636	0.8646	0.8641
2025-01-23	USD	SGD	1.3339	1.3333	1.3345	1.3339
2025-01-24	USD	EUR	0.9462	0.9458	0.9466	0.9462
2025-01-24	USD	GBP	0.8037	0.8032	0.8042	0.8037
2025-01-24	USD	INR	83.6714	83.6214	83.7214	83.6714
2025-01-24	USD	JPY	145.1314	144.9814	145.2814	145.1314
2025-01-24	USD	CAD	1.3292	1.3284	1.33	1.3292
2025-01-24	USD	AUD	1.4804	1.4794	1.4814	1.4804
2025-01-24	USD	CHF	0.8875	0.887	0.888	0.8875
2025-01-24	USD	SGD	1.3339	1.3333	1.3345	1.3339
2025-01-25	USD	EUR	0.8996	0.8992	0.9	0.8996
2025-01-25	USD	GBP	0.7804	0.7799	0.7809	0.7804
2025-01-25	USD	INR	80.6952	80.6452	80.7452	80.6952
2025-01-25	USD	JPY	148.0441	147.8941	148.1941	148.0441
2025-01-25	USD	CAD	1.3133	1.3125	1.3141	1.3133
2025-01-25	USD	AUD	1.4932	1.4922	1.4942	1.4932
2025-01-25	USD	CHF	0.8659	0.8654	0.8664	0.8659
2025-01-25	USD	SGD	1.3423	1.3417	1.3429	1.3423
2025-01-26	USD	EUR	0.9233	0.9229	0.9237	0.9233
2025-01-26	USD	GBP	0.7797	0.7792	0.7802	0.7797
2025-01-26	USD	INR	80.8454	80.7954	80.8954	80.8454
2025-01-26	USD	JPY	144.5271	144.3771	144.6771	144.5271
2025-01-26	USD	CAD	1.3648	1.364	1.3656	1.3648
2025-01-26	USD	AUD	1.5425	1.5415	1.5435	1.5425
2025-01-26	USD	CHF	0.9005	0.9	0.901	0.9005
2025-01-26	USD	SGD	1.3542	1.3536	1.3548	1.3542
2025-01-27	USD	EUR	0.9435	0.9431	0.9439	0.9435
2025-01-27	USD	GBP	0.762	0.7615	0.7625	0.762
2025-01-27	USD	INR	84.4496	84.3996	84.4996	84.4496
2025-01-27	USD	JPY	141.8014	141.6514	141.9514	141.8014
2025-01-27	USD	CAD	1.361	1.3602	1.3618	1.361
2025-01-27	USD	AUD	1.5597	1.5587	1.5607	1.5597
2025-01-27	USD	CHF	0.8661	0.8656	0.8666	0.8661
2025-01-27	USD	SGD	1.3113	1.3107	1.3119	1.3113
2025-01-28	USD	EUR	0.9025	0.9021	0.9029	0.9025
2025-01-28	USD	GBP	0.7905	0.79	0.791	0.7905
2025-01-28	USD	INR	85.5174	85.4674	85.5674	85.5174
2025-01-28	USD	JPY	143.4659	143.3159	143.6159	143.4659
2025-01-28	USD	CAD	1.3705	1.3697	1.3713	1.3705
2025-01-28	USD	AUD	1.5523	1.5513	1.5533	1.5523
2025-01-28	USD	CHF	0.8975	0.897	0.898	0.8975
2025-01-28	USD	SGD	1.3201	1.3195	1.3207	1.3201
2025-01-29	USD	EUR	0.9396	0.9392	0.94	0.9396
2025-01-29	USD	GBP	0.7857	0.7852	0.7862	0.7857
2025-01-29	USD	INR	83.8578	83.8078	83.9078	83.8578
2025-01-29	USD	JPY	146.0627	145.9127	146.2127	146.0627
2025-01-29	USD	CAD	1.376	1.3752	1.3768	1.376
2025-01-29	USD	AUD	1.518	1.517	1.519	1.518
2025-01-29	USD	CHF	0.8856	0.8851	0.8861	0.8856
2025-01-29	USD	SGD	1.3411	1.3405	1.3417	1.3411
2025-01-30	USD	EUR	0.9193	0.9189	0.9197	0.9193
2025-01-30	USD	GBP	0.8042	0.8037	0.8047	0.8042
2025-01-30	USD	INR	84.4324	84.3824	84.4824	84.4324
2025-01-30	USD	JPY	147.5267	147.3767	147.6767	147.5267
2025-01-30	USD	CAD	1.3427	1.3419	1.3435	1.3427
2025-01-30	USD	AUD	1.479	1.478	1.48	1.479
2025-01-30	USD	CHF	0.8789	0.8784	0.8794	0.8789
2025-01-30	USD	SGD	1.3707	1.3701	1.3713	1.3707
2025-01-31	USD	EUR	0.9461	0.9457	0.9465	0.9461
2025-01-31	USD	GBP	0.8015	0.801	0.802	0.8015
2025-01-31	USD	INR	83.8688	83.8188	83.9188	83.8688
2025-01-31	USD	JPY	148.3903	148.2403	148.5403	148.3903
2025-01-31	USD	CAD	1.3658	1.365	1.3666	1.3658
2025-01-31	USD	AUD	1.4936	1.4926	1.4946	1.4936
2025-01-31	USD	CHF	0.9038	0.9033	0.9043	0.9038
2025-01-31	USD	SGD	1.3263	1.3257	1.3269	1.3263
2025-02-01	USD	EUR	0.9419	0.9415	0.9423	0.9419
2025-02-01	USD	GBP	0.7879	0.7874	0.7884	0.7879
2025-02-01	USD	INR	85.4212	85.3712	85.4712	85.4212
2025-02-01	USD	JPY	140.8814	140.7314	141.0314	140.8814
2025-02-01	USD	CAD	1.3814	1.3806	1.3822	1.3814
2025-02-01	USD	AUD	1.5162	1.5152	1.5172	1.5162
2025-02-01	USD	CHF	0.8957	0.8952	0.8962	0.8957
2025-02-01	USD	SGD	1.3699	1.3693	1.3705	1.3699
2025-02-02	USD	EUR	0.9372	0.9368	0.9376	0.9372
2025-02-02	USD	GBP	0.7705	0.77	0.771	0.7705
2025-02-02	USD	INR	81.5827	81.5327	81.6327	81.5827
2025-02-02	USD	JPY	141.6528	141.5028	141.8028	141.6528
2025-02-02	USD	CAD	1.3729	1.3721	1.3737	1.3729
2025-02-02	USD	AUD	1.486	1.485	1.487	1.486
2025-02-02	USD	CHF	0.8784	0.8779	0.8789	0.8784
2025-02-02	USD	SGD	1.3358	1.3352	1.3364	1.3358
2025-02-03	USD	EUR	0.9238	0.9234	0.9242	0.9238
2025-02-03	USD	GBP	0.7649	0.7644	0.7654	0.7649
2025-02-03	USD	INR	85.1092	85.0592	85.1592	85.1092
2025-02-03	USD	JPY	141.688	141.538	141.838	141.688
2025-02-03	USD	CAD	1.3856	1.3848	1.3864	1.3856
2025-02-03	USD	AUD	1.4787	1.4777	1.4797	1.4787
2025-02-03	USD	CHF	0.8841	0.8836	0.8846	0.8841
2025-02-03	USD	SGD	1.3283	1.3277	1.3289	1.3283
2025-02-04	USD	EUR	0.9409	0.9405	0.9413	0.9409
2025-02-04	USD	GBP	0.7965	0.796	0.797	0.7965
2025-02-04	USD	INR	81.4959	81.4459	81.5459	81.4959
2025-02-04	USD	JPY	143.8683	143.7183	144.0183	143.8683
2025-02-04	USD	CAD	1.3187	1.3179	1.3195	1.3187
2025-02-04	USD	AUD	1.4946	1.4936	1.4956	1.4946
2025-02-04	USD	CHF	0.9004	0.8999	0.9009	0.9004
2025-02-04	USD	SGD	1.3261	1.3255	1.3267	1.3261
2025-02-05	USD	EUR	0.9222	0.9218	0.9226	0.9222
2025-02-05	USD	GBP	0.797	0.7965	0.7975	0.797
2025-02-05	USD	INR	82.8546	82.8046	82.9046	82.8546
2025-02-05	USD	JPY	144.5599	144.4099	144.7099	144.5599
2025-02-05	USD	CAD	1.3326	1.3318	1.3334	1.3326
2025-02-05	USD	AUD	1.5554	1.5544	1.5564	1.5554
2025-02-05	USD	CHF	0.8562	0.8557	0.8567	0.8562
2025-02-05	USD	SGD	1.3438	1.3432	1.3444	1.3438
2025-02-06	USD	EUR	0.9039	0.9035	0.9043	0.9039
2025-02-06	USD	GBP	0.7888	0.7883	0.7893	0.7888
2025-02-06	USD	INR	82.0889	82.0389	82.1389	82.0889
2025-02-06	USD	JPY	143.8299	143.6799	143.9799	143.8299
2025-02-06	USD	CAD	1.3142	1.3134	1.315	1.3142
2025-02-06	USD	AUD	1.5254	1.5244	1.5264	1.5254
2025-02-06	USD	CHF	0.8766	0.8761	0.8771	0.8766
2025-02-06	USD	SGD	1.3105	1.3099	1.3111	1.3105
2025-02-07	USD	EUR	0.8986	0.8982	0.899	0.8986
2025-02-07	USD	GBP	0.7693	0.7688	0.7698	0.7693
2025-02-07	USD	INR	83.6136	83.5636	83.6636	83.6136
2025-02-07	USD	JPY	140.2411	140.0911	140.3911	140.2411
2025-02-07	USD	CAD	1.319	1.3182	1.3198	1.319
2025-02-07	USD	AUD	1.5522	1.5512	1.5532	1.5522
2025-02-07	USD	CHF	0.8655	0.865	0.866	0.8655
2025-02-07	USD	SGD	1.3537	1.3531	1.3543	1.3537
2025-02-08	USD	EUR	0.8934	0.893	0.8938	0.8934
2025-02-08	USD	GBP	0.8001	0.7996	0.8006	0.8001
2025-02-08	USD	INR	84.9649	84.9149	85.0149	84.9649
2025-02-08	USD	JPY	141.9659	141.8159	142.1159	141.9659
2025-02-08	USD	CAD	1.3466	1.3458	1.3474	1.3466
2025-02-08	USD	AUD	1.526	1.525	1.527	1.526
2025-02-08	USD	CHF	0.8912	0.8907	0.8917	0.8912
2025-02-08	USD	SGD	1.3699	1.3693	1.3705	1.3699
2025-02-09	USD	EUR	0.9	0.8996	0.9004	0.9
2025-02-09	USD	GBP	0.7923	0.7918	0.7928	0.7923
2025-02-09	USD	INR	82.6389	82.5889	82.6889	82.6389
2025-02-09	USD	JPY	143.7146	143.5646	143.8646	143.7146
2025-02-09	USD	CAD	1.3632	1.3624	1.364	1.3632
2025-02-09	USD	AUD	1.5195	1.5185	1.5205	1.5195
2025-02-09	USD	CHF	0.8967	0.8962	0.8972	0.8967
2025-02-09	USD	SGD	1.3705	1.3699	1.3711	1.3705
2025-02-10	USD	EUR	0.8943	0.8939	0.8947	0.8943
2025-02-10	USD	GBP	0.7957	0.7952	0.7962	0.7957
2025-02-10	USD	INR	82.2868	82.2368	82.3368	82.2868
2025-02-10	USD	JPY	142.3315	142.1815	142.4815	142.3315
2025-02-10	USD	CAD	1.37	1.3692	1.3708	1.37
2025-02-10	USD	AUD	1.5035	1.5025	1.5045	1.5035
2025-02-10	USD	CHF	0.8544	0.8539	0.8549	0.8544
2025-02-10	USD	SGD	1.3038	1.3032	1.3044	1.3038
2025-02-11	USD	EUR	0.9032	0.9028	0.9036	0.9032
2025-02-11	USD	GBP	0.7797	0.7792	0.7802	0.7797
2025-02-11	USD	INR	82.2934	82.2434	82.3434	82.2934
2025-02-11	USD	JPY	148.5623	148.4123	148.7123	148.5623
2025-02-11	USD	CAD	1.3216	1.3208	1.3224	1.3216
2025-02-11	USD	AUD	1.5066	1.5056	1.5076	1.5066
2025-02-11	USD	CHF	0.8875	0.887	0.888	0.8875
2025-02-11	USD	SGD	1.3357	1.3351	1.3363	1.3357
2025-02-12	USD	EUR	0.9386	0.9382	0.939	0.9386
2025-02-12	USD	GBP	0.8075	0.807	0.808	0.8075
2025-02-12	USD	INR	81.342	81.292	81.392	81.342
2025-02-12	USD	JPY	148.0329	147.8829	148.1829	148.0329
2025-02-12	USD	CAD	1.313	1.3122	1.3138	1.313
2025-02-12	USD	AUD	1.5427	1.5417	1.5437	1.5427
2025-02-12	USD	CHF	0.8621	0.8616	0.8626	0.8621
2025-02-12	USD	SGD	1.3353	1.3347	1.3359	1.3353
2025-02-13	USD	EUR	0.8935	0.8931	0.8939	0.8935
2025-02-13	USD	GBP	0.7621	0.7616	0.7626	0.7621
2025-02-13	USD	INR	82.8826	82.8326	82.9326	82.8826
2025-02-13	USD	JPY	140.8327	140.6827	140.9827	140.8327
2025-02-13	USD	CAD	1.3722	1.3714	1.373	1.3722
2025-02-13	USD	AUD	1.5199	1.5189	1.5209	1.5199
2025-02-13	USD	CHF	0.8889	0.8884	0.8894	0.8889
2025-02-13	USD	SGD	1.3408	1.3402	1.3414	1.3408
2025-02-14	USD	EUR	0.9181	0.9177	0.9185	0.9181
2025-02-14	USD	GBP	0.7825	0.782	0.783	0.7825
2025-02-14	USD	INR	85.3003	85.2503	85.3503	85.3003
2025-02-14	USD	JPY	145.1766	145.0266	145.3266	145.1766
2025-02-14	USD	CAD	1.3456	1.3448	1.3464	1.3456
2025-02-14	USD	AUD	1.5335	1.5325	1.5345	1.5335
2025-02-14	USD	CHF	0.8694	0.8689	0.8699	0.8694
2025-02-14	USD	SGD	1.37	1.3694	1.3706	1.37
2025-02-15	USD	EUR	0.8972	0.8968	0.8976	0.8972
2025-02-15	USD	GBP	0.7877	0.7872	0.7882	0.7877
2025-02-15	USD	INR	82.799	82.749	82.849	82.799
2025-02-15	USD	JPY	148.0273	147.8773	148.1773	148.0273
2025-02-15	USD	CAD	1.3474	1.3466	1.3482	1.3474
2025-02-15	USD	AUD	1.5325	1.5315	1.5335	1.5325
2025-02-15	USD	CHF	0.8974	0.8969	0.8979	0.8974
2025-02-15	USD	SGD	1.3017	1.3011	1.3023	1.3017
2025-02-16	USD	EUR	0.9351	0.9347	0.9355	0.9351
2025-02-16	USD	GBP	0.7753	0.7748	0.7758	0.7753
2025-02-16	USD	INR	83.9737	83.9237	84.0237	83.9737
2025-02-16	USD	JPY	144.8657	144.7157	145.0157	144.8657
2025-02-16	USD	CAD	1.3608	1.36	1.3616	1.3608
2025-02-16	USD	AUD	1.5551	1.5541	1.5561	1.5551
2025-02-16	USD	CHF	0.8811	0.8806	0.8816	0.8811
2025-02-16	USD	SGD	1.3433	1.3427	1.3439	1.3433
2025-02-17	USD	EUR	0.8951	0.8947	0.8955	0.8951
2025-02-17	USD	GBP	0.7963	0.7958	0.7968	0.7963
2025-02-17	USD	INR	80.9988	80.9488	81.0488	80.9988
2025-02-17	USD	JPY	143.0234	142.8734	143.1734	143.0234
2025-02-17	USD	CAD	1.3779	1.3771	1.3787	1.3779
2025-02-17	USD	AUD	1.5557	1.5547	1.5567	1.5557
2025-02-17	USD	CHF	0.8838	0.8833	0.8843	0.8838
2025-02-17	USD	SGD	1.321	1.3204	1.3216	1.321
2025-02-18	USD	EUR	0.9179	0.9175	0.9183	0.9179
2025-02-18	USD	GBP	0.7657	0.7652	0.7662	0.7657
2025-02-18	USD	INR	82.6726	82.6226	82.7226	82.6726
2025-02-18	USD	JPY	142.4381	142.2881	142.5881	142.4381
2025-02-18	USD	CAD	1.368	1.3672	1.3688	1.368
2025-02-18	USD	AUD	1.497	1.496	1.498	1.497
2025-02-18	USD	CHF	0.8598	0.8593	0.8603	0.8598
2025-02-18	USD	SGD	1.3724	1.3718	1.373	1.3724
2025-02-19	USD	EUR	0.9055	0.9051	0.9059	0.9055
2025-02-19	USD	GBP	0.7843	0.7838	0.7848	0.7843
2025-02-19	USD	INR	84.4191	84.3691	84.4691	84.4191
2025-02-19	USD	JPY	145.3516	145.2016	145.5016	145.3516
2025-02-19	USD	CAD	1.3658	1.365	1.3666	1.3658
2025-02-19	USD	AUD	1.4918	1.4908	1.4928	1.4918
2025-02-19	USD	CHF	0.8781	0.8776	0.8786	0.8781
2025-02-19	USD	SGD	1.3691	1.3685	1.3697	1.3691
2025-02-20	USD	EUR	0.9268	0.9264	0.9272	0.9268
2025-02-20	USD	GBP	0.7909	0.7904	0.7914	0.7909
2025-02-20	USD	INR	81.1038	81.0538	81.1538	81.1038
2025-02-20	USD	JPY	141.3383	141.1883	141.4883	141.3383
2025-02-20	USD	CAD	1.3717	1.3709	1.3725	1.3717
2025-02-20	USD	AUD	1.4757	1.4747	1.4767	1.4757
2025-02-20	USD	CHF	0.8916	0.8911	0.8921	0.8916
2025-02-20	USD	SGD	1.3554	1.3548	1.356	1.3554
2025-02-21	USD	EUR	0.9037	0.9033	0.9041	0.9037
2025-02-21	USD	GBP	0.7959	0.7954	0.7964	0.7959
2025-02-21	USD	INR	83.9817	83.9317	84.0317	83.9817
2025-02-21	USD	JPY	144.5392	144.3892	144.6892	144.5392
2025-02-21	USD	CAD	1.3218	1.321	1.3226	1.3218
2025-02-21	USD	AUD	1.5387	1.5377	1.5397	1.5387
